OBJECTID,WEB_URL,NAME,NBH_NAMES,TYPE,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,http://planning.dc.gov/,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",Original,{8D235E97-D58C-4891-943E-307143103BD9},,,,,0,0
2,,Cluster 41,Rock Creek Park,Additional,{939C23A8-8EE2-4B4F-85EE-88281BCCC9A0},,,,,0,0
3,http://planning.dc.gov/,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",Original,{8EADC8B8-3DAD-4E5D-AAF8-BF63D8316317},,,,,0,0
4,http://planning.dc.gov/,Cluster 17,"Takoma, Brightwood, Manor Park",Original,{5BF4BCEC-5022-4B96-9577-C0246154197C},,,,,0,0
5,,Cluster 40,Walter Reed,Additional,{C6705A7B-212E-419A-93CB-DA60707D0C37},,,,,0,0
6,http://planning.dc.gov/,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Original,{93A3CDAB-DAD8-415D-B4F6-F74133CB56F9},,,,,0,0
7,http://planning.dc.gov/,Cluster 11,"Friendship Heights, American University Park, Tenleytown",Original,{EA3B5840-55FE-4B96-8EEC-EEF4B03F5E38},,,,,0,0
8,http://planning.dc.gov/,Cluster 18,"Brightwood Park, Crestwood, Petworth",Original,{A5230B28-2498-455A-96E7-DB8518EB4FB0},,,,,0,0
9,http://planning.dc.gov/,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",Original,{24127C9B-B9D5-4D7D-BC07-FEFF91EBCE89},,,,,0,0
10,http://planning.dc.gov/,Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Original,{366FE3D2-0E16-438D-9513-4102755C6990},,,,,0,0
11,http://planning.dc.gov/,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Original,{0BF09895-3E67-429D-99A4-939252FF5ADF},,,,,0,0
12,,Cluster 43,Saint Elizabeths,Additional,{4FCA47DA-8391-47AC-AF81-328F067F37B0},,,,,0,0
13,http://planning.dc.gov/,Cluster 38,"Douglas, Shipley Terrace",Original,{29EB059E-A5BD-46CC-8849-87607A8F3B42},,,,,0,0
14,http://planning.dc.gov/,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",Original,{EAEFFB60-B831-4B92-B7A5-B827FD2308B2},,,,,0,0
15,http://planning.dc.gov/,Cluster 20,"North Michigan Park, Michigan Park, University Heights",Original,{1297A121-DDF2-49EF-84AD-EE9B898ED1E6},,,,,0,0
16,http://planning.dc.gov/,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Original,{87DAF271-D2D6-447D-AF4A-0813475306CE},,,,,0,0
17,http://planning.dc.gov/,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Original,{6CD3BBE1-241C-435B-AEDC-39FB57117D4B},,,,,0,0
18,http://planning.dc.gov/,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",Original,{F71399AA-7E1F-4C25-B721-2B5660FE064E},,,,,0,0
19,http://planning.dc.gov/,Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Original,{0B22F9A0-B7AB-4EE9-937F-E28D655137C4},,,,,0,0
20,http://planning.dc.gov/,Cluster 24,"Woodridge, Fort Lincoln, Gateway",Original,{53775504-7D99-4BAE-8958-2DDD0CC1683C},,,,,0,0
21,http://planning.dc.gov/,Cluster 22,"Brookland, Brentwood, Langdon",Original,{71E5D871-62DE-4A9C-B2CC-325B4B8886C9},,,,,0,0
22,http://planning.dc.gov/,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Original,{9480F5AC-3A19-47C0-8FC2-A551E249C49A},,,,,0,0
23,,Cluster 45,"National Mall, Potomac River",Additional,{BE6A5366-DD25-40D6-A0E6-BF1616E7DA0C},,,,,0,0
24,http://planning.dc.gov/,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",Original,{4DD0F1FB-859C-4EAC-BDD0-C712E6DFDCDC},,,,,0,0
25,http://planning.dc.gov/,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",Original,{A2FC817D-D9FF-4A5C-82EB-9B2E42BF7BD0},,,,,0,0
26,,Cluster 42,Observatory Circle,Additional,{51E7A59B-5AE6-4ED8-B929-7EE3949A8135},,,,,0,0
27,http://planning.dc.gov/,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",Original,{7D218E74-7585-4393-A0AA-7995C2CD0F2D},,,,,0,0
28,,Cluster 46,"Arboretum, Anacostia River",Additional,{6786411B-2887-4D89-B30E-1AFDFB55461B},,,,,0,0
29,http://planning.dc.gov/,Cluster 4,"Georgetown, Burleith/Hillandale",Original,{8F7CC280-ECE9-4011-888E-68AF407122CE},,,,,0,0
30,http://planning.dc.gov/,Cluster 29,"Eastland Gardens, Kenilworth",Original,{9F4E05D1-06C1-45C0-BC5C-0DA3DABDC596},,,,,0,0
31,http://planning.dc.gov/,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",Original,{60D6F49B-A6D4-4EC7-9CBE-95E1A0726E16},,,,,0,0
32,http://planning.dc.gov/,Cluster 7,"Shaw, Logan Circle",Original,{97AAF2BA-912D-4895-B2F8-DC768B96C33F},,,,,0,0
33,http://planning.dc.gov/,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Original,{84876282-0AFE-4553-8F28-958497FC1A4C},,,,,0,0
34,http://planning.dc.gov/,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",Original,{ACAF18C8-CC07-471C-A0B2-DE7DDCF92445},,,,,0,0
35,http://planning.dc.gov/,Cluster 5,"West End, Foggy Bottom, GWU",Original,{B064E40A-40A8-49F7-B5FE-D96ED849A117},,,,,0,0
36,http://planning.dc.gov/,Cluster 25,"Union Station, Stanton Park, Kingman Park",Original,{AD1842F5-5804-470D-B507-D7B47BE4DF87},,,,,0,0
37,http://planning.dc.gov/,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Original,{ABEB56A6-5C60-4D3D-9248-CB56BEA2F308},,,,,0,0
38,http://planning.dc.gov/,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",Original,{CB699FF2-52D9-471F-B48A-89EB5DC0AEBB},,,,,0,0
39,http://planning.dc.gov/,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",Original,{0C950EFC-23E6-408C-96DC-FE854AF46639},,,,,0,0
40,http://planning.dc.gov/,Cluster 26,"Capitol Hill, Lincoln Park",Original,{346737D3-4784-4E9A-8F22-74F54449478D},,,,,0,0
41,http://planning.dc.gov/,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Original,{0D85A9B0-AAE1-4EE0-A311-793BC87ED3C5},,,,,0,0
42,http://planning.dc.gov/,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Original,{584E4CF2-BD04-47B0-9D3D-2EBDF1B87F9B},,,,,0,0
43,http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",Original,{116CB28E-A1A5-44EF-AC79-EE67370ABEC8},,,,,0,0
44,http://planning.dc.gov/,Cluster 37,"Sheridan, Barry Farm, Buena Vista",Original,{F3CB149A-426B-4BC1-8048-0BC712086155},,,,,0,0
45,http://planning.dc.gov/,Cluster 28,Historic Anacostia,Original,{87E85A42-D7E5-412A-B5F9-AEA7F2ED477D},,,,,0,0
46,,Cluster 44,Joint Base Anacostia-Bolling,Additional,{0330767A-D677-4FC7-858B-DE59163E96B8},,,,,0,0
